"","Estado","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19","X2020.09.20","X2020.09.21","X2020.09.22","X2020.09.23","X2020.09.24","X2020.09.25","X2020.09.26","X2020.09.27","X2020.09.28","X2020.09.29","X2020.09.30","X2020.10.01","X2020.10.02","X2020.10.03","X2020.10.04","X2020.10.05","X2020.10.06","X2020.10.07","X2020.10.08","X2020.10.09","X2020.10.10","X2020.10.11","X2020.10.12","X2020.10.13","X2020.10.14","X2020.10.15","X2020.10.16","X2020.10.17","X2020.10.18","X2020.10.19","X2020.10.20","X2020.10.21","X2020.10.22","X2020.10.23","X2020.10.24","X2020.10.25","X2020.10.26","X2020.10.27","X2020.10.28","X2020.10.29","X2020.10.30","X2020.10.31","X2020.11.01","X2020.11.02","X2020.11.03","X2020.11.04","X2020.11.05","X2020.11.06","X2020.11.07","X2020.11.08","X2020.11.09","X2020.11.10","X2020.11.11","X2020.11.12","X2020.11.13","X2020.11.14","X2020.11.15","X2020.11.16","X2020.11.17","X2020.11.18","X2020.11.19","X2020.11.20","X2020.11.21","X2020.11.22","X2020.11.23","X2020.11.24","X2020.11.25","X2020.11.26","X2020.11.27","X2020.11.28","X2020.11.29","X2020.11.30","X2020.12.01","X2020.12.02","X2020.12.03","X2020.12.04","X2020.12.05","X2020.12.06","X2020.12.07","X2020.12.08","X2020.12.09","X2020.12.10","X2020.12.11","X2020.12.12","X2020.12.13","X2020.12.14","X2020.12.15","X2020.12.16","X2020.12.17","X2020.12.18","X2020.12.19","X2020.12.20","X2020.12.21","X2020.12.22","X2020.12.23","X2020.12.24","X2020.12.25","X2020.12.26","X2020.12.27","X2020.12.28","X2020.12.29","X2020.12.30","X2020.12.31"
"11","GUANAJUATO",61,62,63,67,70,74,77,82,88,107,121,130,135,147,155,166,176,185,191,203,211,227,239,243,248,261,280,312,332,357,378,404,437,464,498,516,554,587,612,635,690,730,775,817,864,902,924,992,1072,1167,1292,1379,1491,1567,1683,1818,1941,2087,2195,2314,2414,2555,2727,2836,2980,3119,3273,3402,3598,3794,4058,4341,4581,4754,4931,5174,5513,5753,5962,6183,6420,6647,6904,7138,7457,7747,8054,8425,8655,8909,9193,9526,9876,10140,10378,10724,11205,11674,12124,12604,12934,13384,13729,14115,14558,14976,15457,15774,16094,16391,16729,17312,17626,17927,18225,18501,18748,19111,19523,19760,20066,20358,20600,20809,21079,21393,21697,22104,22306,22521,22769,23054,23348,23572,23865,24230,24494,24856,25169,25505,25817,26210,26587,26836,27139,27463,27797,28130,28439,28816,29065,29343,29637,29980,30247,30530,30824,31088,31363,31633,31883,32115,32361,32563,32697,32837,33028,33273,33472,33668,33816,33954,34078,34272,34467,34653,34821,34990,35162,35360,35518,35714,35870,36094,36284,36494,36661,36858,37132,37350,37617,37787,37998,38251,38479,38741,39074,39432,39799,40103,40406,40715,41067,41486,41826,42098,42373,42643,42974,43259,43625,43889,44145,44491,44816,45117,45409,45768,46263,46919,47418,47749,48151,48581,49093,49603,50137,50594,51080,51804,52323,52838,53449,54041,54659,55136,55700,56324,56881,57625,58248,58655,59094,59710,60468,60988,61642,62090,62560,63103,63671,64181,64701,65247,65839,66249,66652
"12","GUERRERO",45,49,52,60,65,72,74,74,82,89,95,101,103,109,122,128,132,139,147,169,184,191,201,218,251,270,290,309,332,348,366,384,407,434,469,504,534,586,631,690,757,843,896,992,1055,1119,1171,1246,1328,1386,1424,1497,1581,1643,1718,1784,1846,1925,2003,2084,2138,2220,2298,2350,2439,2547,2661,2733,2814,2861,2920,2989,3045,3113,3220,3293,3378,3464,3542,3663,3792,3936,4129,4303,4470,4616,4829,5128,5323,5458,5584,5681,5754,5824,5905,6021,6216,6343,6451,6551,6651,6770,6939,7087,7219,7369,7579,7692,7837,7948,8056,8226,8343,8501,8658,8777,8876,8984,9156,9307,9442,9526,9639,9733,9824,9966,10033,10106,10176,10247,10329,10402,10525,10582,10648,10758,10835,10964,11052,11119,11171,11267,11374,11473,11550,11681,11758,11855,11952,12116,12299,12437,12560,12695,12764,12877,13002,13162,13349,13452,13551,13626,13721,13854,13963,14092,14229,14362,14473,14600,14719,14804,14905,15033,15103,15169,15265,15397,15482,15614,15714,15786,15843,15925,16009,16087,16167,16261,16356,16416,16488,16553,16603,16665,16725,16776,16826,16870,16946,16985,17029,17073,17109,17145,17185,17217,17251,17291,17327,17362,17394,17429,17470,17502,17509,17528,17567,17599,17644,17693,17725,17757,17791,17827,17871,17912,17957,18005,18063,18133,18205,18249,18283,18330,18393,18431,18481,18532,18562,18609,18674,18730,18794,18857,18911,18959,19023,19097,19162,19263,19328,19384,19460,19563,19652,19712,19746
"13","HIDALGO",30,32,33,34,35,41,45,47,51,55,58,67,70,75,77,85,92,99,109,122,130,144,159,174,180,193,205,217,234,252,266,281,288,315,338,366,398,421,459,497,532,562,600,651,707,751,778,826,872,911,981,1025,1049,1088,1122,1165,1205,1248,1287,1326,1369,1432,1473,1513,1559,1607,1669,1717,1748,1778,1812,1858,1894,1942,1984,2014,2081,2111,2155,2205,2240,2294,2342,2387,2432,2468,2510,2561,2595,2643,2674,2712,2767,2811,2853,2914,2979,3039,3099,3171,3231,3307,3390,3487,3569,3636,3731,3786,3851,3914,3995,4073,4133,4192,4265,4341,4408,4494,4586,4668,4760,4812,4895,4974,5049,5135,5204,5304,5370,5426,5482,5560,5644,5705,5792,5873,5946,6049,6125,6183,6243,6313,6372,6424,6472,6539,6589,6648,6706,6773,6812,6858,6904,6948,7001,7049,7100,7155,7208,7254,7299,7337,7391,7445,7488,7539,7611,7675,7727,7778,7817,7856,7900,7971,8010,8048,8095,8131,8178,8233,8284,8341,8397,8454,8496,8536,8580,8645,8729,8808,8862,8909,8972,9032,9097,9141,9212,9292,9385,9439,9513,9585,9647,9722,9783,9841,9914,9963,10031,10107,10179,10234,10291,10345,10405,10467,10544,10623,10729,10814,10888,10957,11040,11102,11165,11256,11340,11418,11511,11630,11728,11816,11915,11998,12106,12204,12304,12415,12492,12631,12763,12880,12981,13146,13280,13383,13506,13654,13771,13893,13986,14122,14233,14414,14536,14632,14725
"14","JALISCO",127,133,139,149,151,156,159,161,168,178,180,192,198,202,210,227,242,259,277,287,296,304,317,329,340,356,368,392,417,445,464,479,496,508,528,553,584,607,650,682,711,732,778,823,879,916,965,1028,1090,1178,1297,1395,1490,1597,1724,1828,1916,2102,2242,2357,2475,2595,2710,2862,3014,3157,3277,3400,3491,3581,3705,3841,3955,4082,4190,4292,4432,4507,4619,4720,4822,4924,5056,5168,5264,5389,5523,5645,5731,5850,5985,6116,6273,6382,6492,6646,6791,6939,7104,7299,7490,7652,7810,7995,8174,8319,8498,8616,8719,8820,8951,9061,9175,9456,9588,9698,9794,9902,10045,10166,10332,10498,10661,10826,10956,11116,11275,11510,11721,11862,11970,12153,12274,12452,12666,12810,12939,13089,13247,13394,13521,13730,13860,13981,14125,14263,14397,14531,14711,14891,15038,15221,15374,15532,15668,15849,15987,16141,16340,16487,16637,16761,16914,17062,17198,17384,17558,17733,17938,18160,18345,18546,18726,18937,19109,19267,19455,19629,19787,19948,20122,20299,20446,20649,20812,20963,21119,21281,21532,21683,21907,22083,22236,22442,22627,22817,22997,23196,23366,23497,23652,23816,24007,24187,24378,24575,24742,24893,25093,25251,25417,25577,25705,25808,25950,26075,26193,26331,26457,26630,26756,26877,27040,27205,27405,27581,27781,28309,28521,28918,29088,29349,29631,29866,30097,30293,30541,30810,31066,31368,31598,31771,32007,32222,32449,32692,32892,33067,33297,33551,33754,33988,34193,34422,34672,34850,35009
"15","MÉXICO",328,357,375,416,451,489,525,559,613,659,707,758,817,866,923,994,1056,1121,1185,1239,1308,1365,1426,1508,1572,1641,1756,1826,1912,1998,2133,2216,2356,2507,2591,2712,2896,3069,3208,3319,3472,3571,3718,3875,4066,4223,4344,4597,4787,4977,5255,5467,5772,6016,6270,6493,6753,7080,7320,7533,7810,8118,8422,8728,9025,9314,9652,9913,10158,10343,10529,10822,11058,11264,11568,11874,12179,12365,12618,12880,13134,13404,13661,13815,14059,14392,14660,14931,15156,15388,15634,15880,16065,16296,16501,16722,17014,17204,17419,17630,17891,18172,18475,18744,19186,19466,19759,20066,20305,20596,20808,21023,21206,21476,21781,22011,22181,22414,22739,22926,23137,23350,23578,23743,24032,24248,24404,24704,24908,25103,25271,25447,25601,25816,25990,26228,26370,26605,26774,26907,27039,27247,27435,27601,27732,27965,28067,28667,28866,29067,29261,29412,29577,29757,29933,30094,30305,30467,30629,30797,30921,31039,31171,31345,31476,31615,31870,32113,32439,32683,32927,33197,33595,34095,34225,34351,34498,34613,34762,34863,34983,35059,35283,35451,35686,36103,36397,36766,37024,37100,37246,37354,37495,37940,38045,38137,38325,38476,38664,38761,38853,38955,39090,39189,39367,39477,39605,39710,39811,39873,39941,40003,40044,40073,40133,40166,40189,40338,40593,40823,41226,41412,41524,41647,41771,41941,42133,42349,42509,42675,42823,42975,43214,43419,43631,43869,44019,44161,44341,44575,44896,45130,45420,45653,45924,46107,46408,46759,47108,47402,47658,47869,48041,48419,48859,49136,49408
"16","MICHOACÁN",29,35,46,50,55,62,67,73,84,93,99,107,123,138,150,175,185,203,223,248,263,289,303,316,326,347,377,399,435,469,507,543,583,629,668,721,783,833,896,975,1048,1104,1147,1206,1258,1336,1397,1468,1509,1587,1682,1787,1877,1997,2100,2174,2258,2378,2484,2620,2735,2848,2988,3086,3196,3315,3439,3563,3713,3816,3933,4075,4173,4284,4448,4573,4689,4781,4884,4982,5051,5162,5263,5320,5388,5482,5559,5674,5840,5921,6028,6114,6205,6275,6329,6410,6536,6629,6735,6828,6919,7023,7117,7245,7377,7503,7690,7794,7886,7992,8118,8272,8406,8606,8733,8834,8929,9035,9226,9352,9516,9613,9738,9874,10015,10146,10266,10457,10590,10702,10830,10986,11175,11311,11464,11614,11743,11954,12067,12236,12387,12560,12734,12838,12986,13162,13296,13433,13592,13803,13930,14055,14178,14348,14490,14646,14770,14905,15073,15186,15283,15393,15533,15665,15759,15952,16106,16294,16507,16683,16774,16904,17011,17132,17242,17333,17458,17571,17660,17787,17877,17959,18070,18254,18416,18565,18730,18831,18970,19088,19240,19336,19471,19569,19680,19764,19868,19983,20133,20228,20328,20471,20575,20681,20765,20855,20962,21035,21100,21196,21321,21409,21490,21574,21658,21738,21807,21887,21999,22088,22155,22218,22302,22388,22500,22606,22701,22795,22904,23015,23120,23228,23351,23465,23597,23710,23809,23939,24036,24188,24332,24445,24530,24636,24751,24858,24990,25131,25234,25404,25515,25648,25791,25951,26115,26214,26321
"17","MORELOS",28,31,31,34,34,38,40,43,47,55,56,64,68,72,80,104,107,115,126,143,165,178,190,199,214,226,238,249,261,275,259,264,278,291,308,320,338,345,354,361,385,413,430,447,472,475,494,511,535,556,569,579,596,610,640,666,691,717,726,729,752,778,789,819,845,858,896,924,958,1012,1035,1066,1122,1145,1183,1224,1253,1262,1281,1288,1295,1320,1341,1361,1377,1397,1404,1422,1441,1456,1464,1479,1502,1526,1540,1564,1587,1606,1633,1653,1666,1683,1703,1730,1749,1771,1798,1813,1818,1839,1868,1889,1913,1939,1957,1975,1992,2016,2042,2069,2089,2105,2126,2154,2219,2240,2277,2302,2321,2342,2360,2383,2397,2435,2456,2468,2487,2510,2522,2540,2557,2582,2607,2620,2629,2635,2652,2669,2696,2710,2722,2733,2741,2752,2775,2793,2812,2817,2828,2832,2843,2853,2860,2869,2892,2897,2910,2922,2939,2952,2965,2979,2992,2996,3011,3032,3059,3075,3093,3100,3111,3127,3149,3174,3195,3212,3224,3237,3252,3274,3295,3315,3332,3351,3361,3371,3395,3412,3422,3438,3449,3455,3469,3492,3510,3521,3537,3548,3556,3565,3588,3607,3624,3652,3673,3699,3713,3728,3749,3809,3851,3870,3879,3895,3915,3950,3974,4006,4030,4054,4069,4096,4128,4157,4192,4229,4258,4289,4340,4384,4424,4465,4498,4530,4562,4605,4642,4695,4743,4779,4804,4829,4861,4900,4995,5032,5104
"18","NAYARIT",15,16,17,17,20,21,21,21,23,26,27,27,32,34,36,37,38,40,46,55,60,66,72,78,89,102,114,128,137,147,150,159,160,173,181,190,201,211,219,228,241,255,267,277,289,294,302,316,337,352,374,395,403,417,431,450,476,500,517,536,556,570,599,619,647,676,700,719,740,761,790,834,868,900,925,970,1003,1039,1076,1120,1146,1157,1183,1224,1268,1308,1357,1396,1420,1458,1505,1551,1594,1632,1686,1718,1754,1800,1843,1870,1909,1972,1997,2037,2090,2163,2225,2255,2282,2301,2323,2371,2403,2451,2488,2521,2558,2584,2628,2664,2706,2752,2771,2809,2845,2896,2934,2972,3000,3025,3055,3088,3108,3126,3147,3168,3186,3219,3244,3286,3320,3345,3360,3365,3379,3402,3435,3451,3471,3494,3508,3525,3547,3575,3600,3632,3642,3652,3670,3692,3706,3718,3742,3763,3773,3795,3809,3834,3854,3884,3899,3894,3906,3922,3945,3960,3974,3989,3999,4018,4029,4048,4061,4081,4092,4103,4119,4139,4156,4173,4192,4201,4207,4217,4235,4248,4270,4283,4290,4295,4303,4315,4328,4341,4357,4364,4372,4377,4390,4403,4415,4421,4430,4439,4447,4455,4461,4475,4491,4500,4512,4525,4530,4542,4554,4563,4565,4574,4580,4598,4615,4627,4642,4659,4673,4685,4707,4716,4729,4741,4762,4769,4774,4792,4808,4815,4833,4843,4854,4867,4883,4894,4903,4915,4931,4940,4950
"19","NUEVO LEÓN",120,126,133,143,159,177,190,195,207,221,228,233,239,248,255,260,265,271,278,289,303,321,346,357,370,383,408,420,434,455,525,540,563,591,615,645,686,729,777,807,842,861,887,928,969,987,1011,1041,1090,1135,1203,1263,1318,1354,1400,1437,1481,1575,1633,1721,1818,1945,2042,2152,2401,2550,2703,2865,3016,3149,3273,3483,3747,3902,4094,4272,4490,4681,4911,5131,5303,5564,5809,5945,6194,6512,6777,7041,7261,7564,7818,8127,8537,8816,9040,9290,9725,9998,10356,10772,10995,11454,11799,12377,12972,13529,14038,14401,14747,14867,15078,15257,15430,15668,15893,16039,16248,16480,16738,16920,17212,17405,17611,17813,18118,18378,18566,18857,19078,19289,19496,19735,19988,20200,20424,20664,20893,21228,21546,21825,22131,22495,22824,23098,23359,23694,23987,24281,24596,25017,25294,25512,25827,26115,26401,26713,26932,27146,27401,27657,27860,28127,28401,28692,28971,29277,29615,30021,30426,30774,31129,31403,31680,32011,32433,32733,33062,33311,33533,33912,34254,34601,34945,35405,35803,36226,36585,37038,37634,38047,38481,38841,39165,39510,39862,40187,40546,40987,41428,41698,42021,42315,42617,42925,43265,43693,43988,44268,44696,44995,45563,46085,46534,46920,47331,47778,48205,48602,49162,49751,50307,50696,51079,51464,51853,52236,52637,53051,53388,53884,54241,54552,55022,55339,55662,55947,56265,56626,56888,57255,57629,57912,58201,58637,59098,59493,60054,60448,60850,61360,61731,62113,62482,62850,63140,63372,63580
"20","OAXACA",32,36,35,36,39,43,43,45,46,52,57,59,60,62,62,64,66,68,73,73,74,76,78,81,83,89,94,100,104,180,215,233,255,285,306,352,408,471,519,554,604,659,697,789,853,939,999,1072,1133,1188,1294,1349,1396,1475,1590,1679,1736,1848,1951,2016,2104,2183,2259,2326,2422,2519,2667,2788,2898,3026,3127,3222,3359,3453,3623,3821,3999,4171,4301,4444,4593,4705,4813,4933,5088,5244,5441,5539,5664,5778,5932,6052,6161,6308,6402,6490,6644,6753,6830,6962,7063,7160,7256,7353,7501,7564,7691,7809,7888,7978,8079,8184,8282,8395,8461,8542,8597,8660,8801,8871,8917,8973,9028,9083,9206,9324,9408,9518,9558,9616,9706,9785,9870,9930,10005,10073,10150,10231,10299,10392,10461,10538,10596,10629,10676,10766,10825,10883,10969,11094,11132,11220,11271,11359,11451,11587,11671,11750,11920,12032,12191,12293,12390,12495,12543,12642,12780,12906,13044,13159,13223,13282,13377,13533,13614,13698,13808,13892,13997,14120,14236,14354,14488,14618,14743,14821,14919,15022,15176,15263,15414,15516,15581,15677,15770,15886,15955,16012,16101,16185,16280,16402,16481,16569,16695,16801,16930,16992,17062,17164,17254,17320,17391,17465,17540,17615,17724,17808,17894,17989,18068,18120,18183,18261,18384,18491,18606,18667,18758,18851,18903,18967,19057,19139,19209,19290,19430,19526,19611,19725,19848,19938,20064,20160,20264,20368,20482,20575,20702,20843,20926,21012,21118,21230,21357,21464,21559
"21","PUEBLA",166,175,180,183,188,194,202,213,226,238,245,252,260,272,278,291,309,316,328,347,361,377,391,399,418,431,450,468,485,509,535,578,612,653,695,724,773,843,892,956,1030,1072,1147,1248,1313,1405,1470,1567,1676,1762,1891,1984,2083,2213,2284,2361,2429,2599,2706,2856,2987,3182,3345,3485,3687,3884,4232,4431,4688,4907,5118,5523,5776,6040,6370,6745,7090,7253,7526,7736,7981,8264,8510,8692,8864,9043,9304,9531,9753,9910,10078,10334,10532,10744,10954,11182,11456,11705,11889,12139,12297,12499,12666,12933,13169,13174,13418,13637,13802,14045,14258,14469,14612,14862,15061,15251,15520,15693,15929,16089,16266,16410,16582,16742,16903,17036,17133,17328,17470,17532,17650,17767,17955,18062,18266,18468,18666,18866,18993,19137,19228,19361,19500,19629,19753,19885,20013,20124,20220,20373,20478,20598,20688,20790,20869,20966,21060,21164,21268,21352,21416,21496,21605,21702,21774,21857,21975,22065,22156,22265,22332,22393,22466,22591,22673,22729,22832,22905,22964,23090,23184,23244,23303,23394,23488,23583,23690,23772,23875,23959,24064,24185,24270,24425,24520,24628,24713,24808,24957,25047,25154,25263,25367,25461,25580,25705,25820,25900,25990,26036,26119,26214,26285,26373,26455,26531,26617,26722,26854,27004,27125,27233,27331,27466,27576,27682,27799,27914,28049,28230,28325,28425,28540,28662,29022,29226,29402,29567,29686,29880,30145,30321,30554,30716,30918,31062,31246,31457,31650,31857,32014,32169,32289,32549,32903,33159,33457
"22","QUERETARO",40,42,43,45,45,50,52,56,58,60,64,65,68,71,72,75,76,81,84,84,89,99,103,105,107,111,118,128,136,151,165,178,210,235,252,278,315,334,355,372,393,430,448,470,496,531,563,591,609,630,654,671,687,703,724,743,761,794,831,855,867,891,920,932,950,970,989,1015,1042,1049,1066,1093,1109,1122,1145,1161,1187,1206,1239,1256,1270,1303,1329,1367,1387,1413,1451,1482,1528,1566,1606,1644,1668,1722,1756,1795,1848,1880,1901,1942,1982,2017,2091,2118,2188,2221,2260,2330,2351,2375,2470,2558,2588,2631,2704,2751,2806,2838,2900,2932,2978,3087,3140,3213,3325,3395,3445,3522,3569,3649,3720,3793,3868,3916,3977,4081,4141,4250,4305,4399,4445,4511,4594,4632,4691,4803,4928,4993,5068,5133,5235,5275,5344,5429,5475,5538,5602,5643,5714,5764,5812,5845,5908,5985,6079,6134,6210,6293,6386,6443,6535,6614,6678,6770,6828,6880,6964,7049,7135,7244,7328,7414,7497,7628,7705,7803,7936,8083,8259,8401,8553,8719,8887,9052,9205,9387,9556,9785,10042,10204,10377,10530,10712,10908,11154,11348,11555,11735,11931,12140,12362,12615,12840,13022,13184,13387,13603,13871,14165,14477,14726,15000,15224,15457,15726,15994,16336,16663,16966,17417,17769,18134,18475,18786,19151,19498,19829,20158,20414,20743,21110,21438,21737,21976,22273,22502,22806,23089,23290,23530,23744,23935,24089,24381,24708,24961,25154
"23","QUINTANA ROO",131,144,153,162,182,195,212,227,241,257,262,278,291,311,323,352,359,367,376,384,399,414,428,436,446,451,463,479,496,522,529,544,564,632,664,688,699,714,736,748,769,791,806,834,866,896,918,937,956,979,1012,1025,1064,1092,1121,1146,1171,1204,1229,1248,1267,1298,1335,1375,1421,1452,1498,1544,1582,1621,1661,1717,1765,1808,1860,1928,2034,2085,2147,2232,2292,2372,2474,2563,2687,2779,2852,2936,3008,3110,3224,3323,3439,3540,3636,3763,3858,3943,4038,4134,4220,4305,4374,4449,4546,4673,4797,4854,4945,5033,5111,5204,5303,5411,5516,5580,5635,5692,5784,5850,5926,5999,6052,6116,6172,6226,6286,6336,6382,6421,6455,6495,6560,6602,6653,6706,6752,6818,6852,6906,6997,7078,7132,7176,7207,7251,7293,7343,7393,7436,7469,7500,7539,7580,7613,7645,7671,7717,7741,7772,7798,7830,7867,7905,7937,7966,8003,8055,8115,8158,8194,8228,8267,8319,8365,8408,8462,8506,8540,8572,8603,8641,8674,8711,8738,8773,8811,8838,8874,8894,8928,8953,8974,9003,9028,9053,9089,9122,9147,9170,9183,9213,9237,9268,9307,9333,9359,9378,9401,9416,9448,9469,9490,9503,9521,9539,9558,9577,9602,9623,9635,9645,9659,9680,9705,9739,9764,9789,9813,9867,9910,9937,10002,10035,10067,10094,10130,10162,10200,10253,10324,10342,10367,10394,10418,10451,10495,10518,10559,10596,10633,10690,10734,10791,10829,10870,10900
"24","SAN LUIS POTOSÍ",45,47,48,50,51,52,52,53,56,59,60,61,61,62,62,69,74,76,77,79,90,97,109,123,132,147,174,185,205,229,254,275,304,334,358,380,396,411,431,461,491,510,530,553,577,617,647,685,727,764,795,827,865,893,932,972,1011,1074,1120,1194,1251,1322,1385,1448,1523,1624,1680,1730,1793,1863,1932,2009,2080,2129,2199,2297,2394,2481,2595,2672,2738,2820,2922,3020,3133,3227,3363,3499,3624,3795,3957,4120,4302,4464,4689,4917,5179,5376,5573,5941,6196,6537,6825,7163,7439,7710,8018,8243,8497,8710,9000,9197,9396,9746,10041,10249,10501,10718,11058,11254,11467,11647,11882,12109,12350,12556,12720,12979,13252,13457,13673,13948,14157,14298,14488,14687,14909,15130,15302,15442,15572,15728,15902,16038,16182,16354,16559,16738,16880,17070,17214,17314,17416,17541,17652,17790,17972,18076,18199,18344,18437,18540,18620,18724,18818,18944,19095,19227,19341,19444,19562,19657,19771,19868,20002,20092,20188,20352,20495,20671,20851,20983,21150,21314,21486,21641,21866,22026,22241,22410,22581,22755,23003,23148,23325,23466,23631,23870,24050,24230,24385,24557,24736,24887,25077,25221,25373,25494,25667,25804,25944,26078,26215,26357,26477,26643,26777,26926,27174,27405,27614,27773,27949,28159,28351,28502,28673,28904,29087,29279,29440,29585,29755,29881,30026,30226,30412,30563,30665,30801,30979,31080,31202,31326,31460,31573,31712,31872,31987,32125,32271,32413,32509,32660,32785,32927,33062
"25","SINALOA",104,118,129,140,159,177,200,223,241,255,276,299,338,369,394,447,473,499,529,570,611,636,670,697,734,773,840,867,910,957,987,1016,1056,1093,1134,1191,1255,1306,1343,1399,1508,1584,1658,1732,1808,1895,1982,2090,2201,2307,2426,2509,2600,2694,2802,2893,3020,3143,3230,3332,3466,3643,3824,3956,4078,4248,4409,4490,4616,4643,4717,4886,4976,5057,5161,5247,5382,5469,5563,5630,5715,5807,5895,5963,6062,6152,6242,6364,6465,6566,6668,6758,6834,6926,7024,7103,7195,7260,7323,7398,7468,7533,7579,7633,7702,7760,7840,7920,7968,8038,8140,8251,8322,8384,8474,8520,8568,8641,8752,8800,8858,8925,8994,9065,9125,9211,9266,9342,9404,9466,9533,9599,9690,9758,9826,9886,9933,10021,10077,10148,10209,10275,10350,10406,10468,10545,10603,10664,10755,10830,10867,10932,10988,11083,11131,11195,11274,11315,11403,11449,11509,11545,11608,11683,11730,11790,11865,11911,11996,12063,12133,12213,12268,12346,12399,12452,12525,12561,12611,12699,12778,12857,12931,13002,13068,13121,13173,13240,13344,13397,13478,13550,13607,13672,13749,13812,13875,13959,14029,14127,14209,14277,14328,14384,14444,14492,14570,14620,14717,14776,14835,14891,14927,14980,15041,15103,15198,15223,15318,15380,15492,15584,15631,15688,15738,15811,15869,15911,15956,16020,16086,16133,16173,16223,16272,16313,16367,16416,16471,16534,16602,16645,16689,16745,16801,16856,16905,16951,17034,17105,17165,17213,17278,17335,17391,17439,17504
"26","SONORA",37,50,55,59,64,72,68,73,76,77,78,82,94,110,114,128,139,158,177,195,213,229,243,262,279,311,342,372,406,451,481,522,569,607,650,710,756,806,858,908,996,1064,1166,1246,1322,1424,1543,1633,1740,1834,1950,2079,2208,2340,2454,2627,2716,2840,2907,2956,3110,3272,3420,3538,3763,3966,4093,4266,4396,4524,4634,4804,4936,5100,5433,5736,6013,6140,6298,6607,6836,7202,7534,7716,7894,8060,8331,8658,9021,9320,9674,9995,10147,10510,10692,10966,11268,11479,11627,11710,11890,12154,12316,12445,12614,12734,12824,12926,13017,13113,13214,13317,13429,13558,13632,13720,13807,13916,14063,14155,14252,14312,14381,14464,14539,14608,14713,14818,14872,14912,14994,15100,15194,15274,15336,15421,15474,15544,15688,15868,15982,16058,16202,16302,16419,16575,16684,16765,16838,16973,17077,17127,17251,17400,17511,17578,17642,17699,17771,17861,17902,17950,18020,18085,18135,18197,18264,18365,18477,18530,18572,18624,18679,18766,18823,18895,18963,19015,19073,19149,19231,19294,19357,19435,19491,19533,19607,19686,19765,19829,19910,19966,20004,20072,20163,20243,20325,20408,20471,20526,20607,20745,20854,20937,21001,21098,21193,21253,21433,21506,21605,21696,21776,21868,21996,22136,22248,22361,22548,22691,22876,23037,23163,23328,23484,23665,23827,24112,24301,24548,24777,24969,25162,25385,25540,25735,26021,26271,26455,26642,26844,27009,27258,27461,27685,27949,28132,28274,28471,28624,28845,29026,29289,29460,29568,29675,29814
